"","T","P","TSA","TSB","MB","Rain"
"1",-1.963673589,0.192089266,1.467927083,1.555229167,0.350040875,0.000257
"2",-5.810965238,0.000636604,1.500739583,1.5890625,0.348757647,0.000841
"3",-9.019986104,0,1.418510417,1.529458333,0.345856178,0.001806
"4",-16.51443621,0,1.137739583,1.297791667,0.341429664,0.001122
"5",-19.89773596,0,0.573760417,0.942541667,0.335059783,0.000417
"6",-18.24863888,0,0.153864583,0.726479167,0.328896864,0.000104
"7",-4.646847229,0.002923661,0.412479167,0.703395833,0.326351978,0.002007
"8",-2.629256942,0.087096815,0.5515625,0.637729167,0.328712871,0
"9",-1.207749984,0.671498994,0.57778125,0.616458333,0.329027694,0
"10",0.126722229,0.332707946,0.594822917,0.608125,0.329066865,5e-04
"11",-1.520979172,0.064391283,0.641145833,0.634354167,0.329380101,0
"12",-4.704334879,0.000330091,0.60275,0.684666667,0.329431837,0.000135
"13",-2.586104197,0.107326665,0.565135417,0.649,0.32842497,0.001097
"14",-2.24658335,0.19972851,0.609625,0.638458333,0.328671436,0.000264
"15",-6.912216429,0,0.617875,0.686395833,0.328485456,0
"16",-6.314243067,0,0.529989583,0.670145833,0.326547143,8.3e-05
"17",-4.172548596,0.008087225,0.544447917,0.630166667,0.325810114,0.000111
"18",-1.269006948,0.11902131,0.570270833,0.588770833,0.326013718,1.4e-05
"19",0.843132878,-0.138991804,0.595260417,0.577270833,0.326424915,7e-06
"20",-2.678006917,-0.130998891,0.621552083,0.626416667,0.326550363,4.2e-05
"21",-3.347666638,-0.000282935,0.557635417,0.6370625,0.325313063,0.000722
"22",0.930548605,-0.093769364,0.551822917,0.569166667,0.3245004,0
"23",-0.152201384,-0.068635308,0.617125,0.585625,0.325166573,0.000229
"24",-5.309201417,-0.066584029,0.6514375,0.645729167,0.325666551,4.9e-05
"25",-7.261666713,-0.085021958,0.466875,0.643791667,0.322098136,2.1e-05
"26",1.513763882,-0.02746827,0.52075,0.5338125,0.320715071,3.5e-05
"27",0.869930568,-0.00056587,0.606427083,0.551979167,0.322041801,0
"28",-0.418111105,0.013156476,0.622166667,0.572375,0.322713429,0
"29",-0.914597226,0.029330925,0.623916667,0.583833333,0.323011825,0.000174
