"","T","P","TSA","TSB","MB","Rain"
"1",-7.47263895,-0.0578664,1.641125,2.0666875,0.374388889,0.049999998
"2",-12.91729167,-0.0003672,1.259135417,1.782791667,0.377875,0
"3",-10.81094446,0,0.9456875,1.480541667,0.362886364,3.109999957
"4",-16.6687361,0,0.697083333,1.236041667,0.351305556,1.991864414
"5",-20.56176379,0,0.155125,0.881041667,0.337478261,0.749999995
"6",-25.33999988,0,-1.020708333,0.047604167,0.332145833,0
"7",-25.7256945,-0.0112536,-1.92203125,-0.614604167,0.315326087,0
"8",-21.02193038,0,-1.287979167,-0.136979167,0.304708333,0.229999994
"9",-17.00563188,0,-1.03725,-0.056208333,0.289229167,0
"10",-18.85207638,0,-1.406458333,-0.2888125,0.278291667,0.01
"11",-13.2976596,0.4017168,-1.083895833,-0.211104167,0.261833333,2.299999984
"12",-10.83638192,-0.0627696,-0.74053125,-0.146291667,0.243333333,6.569999942
"13",-12.23755844,-0.3078432,-0.672395833,-0.161847223,0.229833333,5.505932225
"14",-13.4566389,-0.1121688,-0.660802083,-0.192458333,0.224229167,3.586271128
"15",-13.569993,-0.0399384,-0.665291667,-0.232416667,0.215895833,2.952413782
"16",-14.24376394,0.0032616,-0.8674375,-0.335625,0.2105,3.092033838
"17",-18.38664571,-0.0828144,-0.961322917,-0.487645833,0.209770833,2.992372888
"18",-23.90859033,0,-2.20034375,-1.302583333,0.204416667,0.039999999
"19",-19.83495154,0.0013392,-1.6264375,-0.885875,0.203583333,0.15016949
"20",-20.87232633,-0.029592,-1.853135417,-1.084625,0.19925,0.770000002
"21",-20.48153475,0,-1.838729167,-1.114041667,0.19225,0.503050837
"22",-19.17340285,0,-2.237208333,-1.402125,0.17625,0.429999992
"23",-5.557277825,0.258336,-1.0219375,-0.699916667,0.178666667,0.010169492
"24",-4.131534683,0.12582,-0.38428125,-0.339333333,0.177729167,0.31999999
"25",-3.954486146,0.069768,-0.098864583,-0.1713125,0.180770833,0.360000019
