"","T","P","TSA","TSB","MB","Rain"
"1",2.117177017,0.0762048,0.804791667,0.935666667,0.355458333,3.239999973
"2",1.330641447,0.0386208,0.845104167,0.960083333,0.374184211,8.870000089
"3",-0.733333333,0.0798336,0.901916667,1.023104167,0.506113636,10.61218351
"4",-4.458333333,0.0718416,0.974083333,1.101645833,0.4165625,2.506101698
"5",-16.1307264,-0.1624752,1.015697917,1.154020833,0.393979167,0.47220338
"6",-14.94406494,0.0675216,0.875770833,1.108229167,0.388770833,0
"7",-4.216381917,0.5675832,0.925458333,1.073875,0.381375,1.96999998
"8",-1.252020838,0.189972,0.948479167,1.024395833,0.377729167,1.850338954
"9",-0.572368059,-0.3893832,0.969229167,1.024375,0.377395833,2.519999958
"10",-4.223854146,-0.0835056,1.031239583,1.076979167,0.373458333,1.824745767
"11",-12.16754171,-0.0807192,1.055479167,1.1215625,0.371391304,5.280169433
"12",-14.69777083,-0.0303048,0.945385417,1.074541667,0.3651875,0.932203379
"13",-10.51131238,0.1093608,0.922739583,1.014125,0.3603125,6.123173606
"14",-2.170916659,0.0816912,0.86990625,0.918833333,0.3584375,1.589999993
"15",-0.73751388,0.0012312,0.8825625,0.895895833,0.356958333,0.79033898
"16",0.330708344,0.4248072,0.897677083,0.901104167,0.3579375,5.34
"17",1.046881945,0.2839752,0.906395833,0.9038125,0.368916667,0.523050838
"18",-0.827319456,-0.239112,0.94125,0.938729167,0.371895833,2.300169446
"19",-5.414919396,-0.196992,1.01553125,1.006708333,0.369891304,1.200169478
"20",-10.36803485,0.1629072,1.080385417,1.064541667,0.368272727,0
"21",-13.64915975,-0.0975672,1.0726875,1.0610625,0.36126087,0.769999997
"22",-15.38749302,0.020628,1.01840625,1.012895833,0.363270833,0.939999986
"23",-11.65809033,0.0360504,0.996989583,0.994666667,0.35825,3.443389837
"24",-5.475381954,0.2545992,0.944072917,0.933333333,0.3553125,0.282711861
"25",-2.111166654,0.1542672,0.909447917,0.885520833,0.352020833,1.401034471
"26",-1.788687496,0.1759752,0.922625,0.886875,0.352652174,0.109999999
"27",-1.157152773,0.0527904,0.9245625,0.8896875,0.3571875,2.83050847
"28",-1.238944458,0.0921888,0.94153125,0.909104167,0.350891304,1.012105237
"29",-0.871721753,0.3077568,0.943802083,0.914645833,0.352973684,0.94999999
"30",-1.143979169,0.1901448,0.95946875,0.933729167,0.3535,0.060169491
"31",-1.835229164,0.320328,0.978145833,0.955916667,0.349611111,4.510000048
"32",-2.880520838,0.072792,0.999364583,0.980208333,0.352285714,7.933368118
"33",-4.269404608,-0.1418472,1.025083333,1.007048611,0.355625,0.48050846
"34",-5.202541708,0.1098144,1.052541667,1.030166667,0.349625,0.760000001
"35",-4.733454625,-0.027432,1.061145833,1.037729167,0.348770833,0.321186442
"36",-4.161312454,-0.0125712,1.073822917,1.044604167,0.352413043,0.039999998
"37",-0.796861099,0.327672,1.058625,1.0253125,0.348604167,0.580677965
"38",-0.027694435,0.1750248,1.066895833,1.0256875,0.34825,0.150847458
"39",-5.992527788,0.1463184,1.153385417,1.09375,0.345586957,0.409999993
"40",-4.579166667,0.1408104,1.15178125,1.0889375,0.344704545,0.639999999
"41",3.357525479,0.3097872,1.056572917,1.0061875,0.34525,0
"42",3.671159725,0.1593432,1.05334375,0.998895833,0.347979167,0
"43",-0.280791664,0.2311416,1.11621875,1.051354167,0.3450625,0
"44",-3.428201348,0.0805032,1.177302083,1.099395833,0.352880952,0.28
"45",-1.718097199,0.1314576,1.163395833,1.0821875,0.354675,1.73016949
"46",-9.592673633,0.0130032,1.269333333,1.160083333,0.3485,0
"47",-8.806000154,0.383076,1.248885417,1.144375,0.344391304,0
"48",-3.928270896,0.6925392,1.169916667,1.082333333,0.3466875,0.171428562
"49",-0.442881952,0.391068,1.111708333,1.025166667,0.345354167,0.390169481
"50",1.818930564,0.2168208,1.08415625,0.993729167,0.345916667,0.089999999
"51",1.713009714,0.12474,1.0881875,0.992916667,0.347625,1.270909085
"52",0.630173604,0.3764016,1.117125,1.011708333,0.356047619,0.169999999
"53",-0.286458333,0.310068,1.1495,1.0394375,0.35725,3.381694888
"54",-0.078840283,0.7054344,1.16853125,1.051604167,0.34925,0.441186436
"55",0.176194442,0.3877416,1.184229167,1.062354167,0.36525,2.842542337
"56",0.759222212,0.5819904,1.197583333,1.068833333,0.358722222,0.080508475
"57",0.309763894,0.7228224,1.218145833,1.084375,0.383428571,0.069999996
"58",-0.612590279,0.7199064,1.257597221,1.112958333,0.383428571,0.641525411
"59",-0.142187503,0.6990624,1.2773125,1.126145833,0.374,0.110000001
"60",0.860784715,0.7278336,1.288020833,1.128229167,0.374,0.059999999
"61",0.52715277,0.5706936,1.316479167,1.1505,0.363,1.609999986
"62",0.064076388,0.6222528,1.326729167,1.154895833,0.363,3.21152538
"63",0.13658333,0.5300424,1.3429375,1.168083333,0.37125,7.269388831
"64",-0.381792962,0.577476,1.367927083,1.193333333,0.38975,0.591016953
"65",-0.22943056,0.7932816,1.40021875,1.222,0.38375,2.929999937
"66",0.529604175,0.8854272,1.4133125,1.230583333,0.390363636,0.100000002
"67",4.233048583,0.4003776,1.351677083,1.18,0.386916667,0.219999997
"68",3.230697628,1.0858104,1.356486113,1.182993054,0.51802381,0.010169492
"69",1.769866953,1.1304576,1.41846875,1.2344375,0.4706,1.430000012
"70",1.809381904,1.088856,1.421385417,1.241104167,0.436380952,0.059999999
"71",0.682590285,0.8000856,1.4734375,1.2910625,0.428052632,0
"72",0.536638838,0.7316136,1.4785,1.307173613,0.408088235,0
"73",1.588125,0.9943128,1.450541667,1.2996875,0.400382353,0
"74",3.00624311,1.005912,1.411604167,1.271229167,0.395238095,0
"75",4.390458322,1.04274,1.39903125,1.253895833,0.39273913,0
"76",4.258451383,1.038636,1.419395833,1.262166667,0.381608696,0
"77",4.676076422,1.2037896,1.430239583,1.263479167,0.381604167,0
"78",3.974486154,1.0385496,1.44121875,1.267875,0.382145833,0.01
"79",-0.211708335,0.9455832,1.509989583,1.326666667,0.388021739,0
"80",-5.081201338,0.1857816,1.508541667,1.369229167,0.390729167,0
"81",-5.572270854,0.5405832,1.379114583,1.28625,0.3834375,0.489999991
"82",0.186562499,0.5916024,1.25534375,1.164416667,0.378583333,3.460338957
"83",0.332972218,0.794448,1.239510417,1.1365,0.384479167,0.459999987
"84",-3.38020832,0.3772224,1.311114583,1.189208333,0.382541667,0.401525419
"85",-2.872194434,0.7100352,1.27390625,1.168,0.381152174,0
"86",-0.050930554,1.1839392,1.191,1.089333333,0.378854167,0.679999996
"87",1.747291654,0.4375512,1.1355625,1.029708333,0.384022727,8.180000009
"88",0.751041671,1.1533968,1.158625,1.041854167,0.392807692,0.911525462
"89",-0.099979164,1.2350448,1.188489583,1.0678125,0.392807692,3.844745731
"90",0.489951391,1.1119032,1.204010417,1.079645833,0.514555556,3.581694858
"91",0.435789785,1.4717808,1.2210625,1.085708333,0.434076923,0.890000014
"92",0.441958335,1.0828512,1.265,1.1133125,0.437321429,0.629999995
