"","T","P","TSA","TSB","MB","Rain"
"67",-7.697,0.008814,0.59272125,0.7278325,0.340625416666667,0.00033
"68",-3.387,0.0118572,0.585200208333333,0.713319583333333,0.339485208333333,0.1114
"69",-1.381,0.051576,0.58877875,0.708652083333333,0.338755833333333,0.01433
"70",-0.9823,0.08292,0.598906666666667,0.708369375,0.33820875,0.01146
"71",-1.79,0.068952,0.608478333333333,0.710158958333333,0.337775208333333,0.2183
"72",-0.4891,0.068628,0.619290416666667,0.715279375,0.337870208333333,0.3544
"73",-5.929,-2.7792e-10,0.632078125,0.721355833333333,0.338156875,0.06755
"74",-10.64,-1.5864e-09,0.623474583333333,0.712048125,0.329486458333333,0.00165
"75",-11.06,-5.7888e-09,0.603102291666667,0.695862291666667,0.31631,0
"76",-9.565,-1.9884e-09,0.612442291666667,0.703082916666667,0.315974791666667,0
"77",-2.591,0.1932,0.619295625,0.705563958333333,0.315409583333333,0.00033
"78",-0.9115,0.18024,0.621943333333333,0.705403541666667,0.314961666666667,0.03167
"79",-6.191,-3.6192e-11,0.625529583333333,0.70860125,0.314712916666667,0.1763
"80",-7.348,-1.2264e-10,0.630118125,0.71044375,0.314437708333333,0.00698
"81",-1.422,0.16536,0.633557291666667,0.71098,0.31404375,0.05666
"82",-4.187,0.094224,0.636692083333333,0.711343541666667,0.313910416666667,0.01333
"83",-2.314,0.13188,0.641375625,0.711482916666667,0.31358625,0.02423
"84",-0.979,0.25512,0.646569583333333,0.714181666666667,0.313251458333333,0.02799
"85",-7.93,0.0062448,0.653223541666667,0.716185416666667,0.313012916666667,0
"86",-6.947,0.0219,0.661270625,0.719459375,0.312810416666667,0
"87",-3.972,0.19836,0.665279375,0.721011041666667,0.312415833333333,0.0214
"88",-3.03,0.25416,0.66448,0.721311458333333,0.31200375,0
"89",-2.578,0.29472,0.661786666666667,0.718360625,0.311603541666667,0
"90",-0.9843,0.35184,0.663790833333333,0.71726875,0.311224375,0
"91",-0.9185,0.32808,0.665569166666667,0.716082083333333,0.310901666666667,0
"92",-2.071,0.076008,0.666722916666667,0.717867708333333,0.310560833333333,0.3043
"93",-1.649,0.28824,0.668224375,0.719892291666667,0.310391666666667,0.00067
"94",-0.7532,0.3222,0.670246458333333,0.721272916666667,0.310209375,0.0894
"95",2.94,0.20436,0.673866458333333,0.7233825,0.312253333333333,0.07734
"96",1.742,0.16236,0.672678958333333,0.721248541666667,0.315525416666667,0.1333
"97",1.125,0.44724,0.670581666666667,0.71671125,0.319951666666667,0
"98",4.528,0.6462,0.682377916666667,0.72623,0.322196666666667,0.01599
"99",1.788,0.37332,0.68296875,0.72449625,0.32902125,0.1383
"100",1.663,0.78408,0.690726875,0.729328958333333,0.337201666666667,0
"101",3.502,0.96504,0.70929,0.744555208333333,0.341494583333333,0
"102",4.577,1.14948,0.721059375,0.753310416666667,0.345313333333333,0
"103",5.659,1.3164,0.731235833333333,0.759263333333333,0.348927083333333,0
"104",8.125,1.5336,0.731440625,0.761996041666667,0.357665416666667,0
"105",8.355,1.5684,0.72798375,0.762892291666667,0.385009583333333,0.00934
"106",6.645,1.04136,0.731658541666667,0.761498958333333,0.40744625,0.03166
"107",5.529,1.1826,0.739649583333333,0.763526458333333,0.41187125,0.01262
"108",7.448,2.1096,0.761088958333333,0.773762916666667,0.413773541666667,0.02167
"109",7.819,2.1756,0.8105225,0.793175,0.418567291666667,0.04721
"110",9.472,2.3364,0.937515625,0.8483825,0.420070625,0.04934
"111",6.047,2.1384,1.0930825,0.945058333333333,0.430772916666667,0.4904
"112",2.345,1.6248,1.22495104166667,1.08524583333333,0.424930416666667,0.05603
"113",3.971,2.3712,1.33735291666667,1.17841729166667,0.411248125,0
"114",4.346,1.2504,1.62510875,1.43808604166667,0.401451458333333,0.04232
"115",5.174,1.4412,1.91099333333333,1.671324375,0.384172708333333,0.03533
"116",3.797,2.298,2.08489958333333,1.86179208333333,0.392768958333333,0.02867
"117",5.707,2.5956,2.24519666666667,2.00423333333333,0.388352083333333,0.001
"118",6.234,2.5524,2.509499375,2.24630083333333,0.383944583333333,0.01667
"119",5.466,2.0604,2.63723270833333,2.393130625,0.380497708333333,0.146
"120",6.31,2.4276,2.981579375,2.61564833333333,0.37837375,0.00067
"121",4.683,0.94284,3.26426020833333,2.90694583333333,0.377409375,0.3667
"122",5.654,1.08276,3.57916791666667,3.12396666666667,0.401435625,0.5218
"123",7.88,2.7228,3.906448125,3.36627,0.404989375,0.06066
"124",5.498,1.446,4.26449416666667,3.75980729166667,0.394069166666667,0.09906
"125",6.182,2.6016,4.07131083333333,3.65735270833333,0.387353333333333,0
"126",12.55,3.5268,4.69271041666667,4.056025625,0.379891666666667,0
"127",14.33,4.0344,5.708845,4.8604375,0.37268625,0
"128",11.45,3.9588,5.97525479166667,5.26205729166667,0.366453541666667,0
"129",13.23,4.1928,5.96941770833333,5.31565208333333,0.360734791666667,0
"130",13.26,4.4268,6.237333125,5.55985333333333,0.35483375,0
"131",16.08,4.7352,6.60663145833333,5.85941458333333,0.348663541666667,0
"132",18.45,5.0196,7.18250333333333,6.33930645833333,0.342297708333333,0
"133",20.44,5.418,7.73295395833333,6.82066104166667,0.335926458333333,0
"134",21.74,5.8284,8.28859354166667,7.31305833333333,0.329583958333333,0
"135",21.61,6.3288,8.84737666666667,7.83722625,0.323266875,0
"136",20.21,6.4056,9.06470916666667,8.11681,0.317483541666667,0
"137",16.45,6.6504,9.13112708333333,8.265090625,0.312316875,0
"138",11.77,6.0792,8.65319020833333,8.04477,0.307670625,0.00467
"139",11.71,6.4872,7.94073208333333,7.51317770833333,0.303126041666667,0
"140",14.9,6.3408,7.9611175,7.4169375,0.297899583333333,0
"141",18.08,6.8232,8.49857041666667,7.77512458333333,0.291701458333333,0
"142",18.81,7.0932,8.90880104166667,8.140135,0.28497625,0
"143",15.42,7.1928,9.22165958333333,8.46048083333333,0.278399375,0
"144",13.64,7.0116,8.624498125,8.126884375,0.272285625,0
"145",18.57,7.1928,8.761695625,8.12939270833333,0.2656525,0
"146",18.56,7.5468,9.35138979166667,8.56544104166667,0.25821125,0
"147",14.22,7.5336,9.30252791666667,8.674808125,0.250869375,0
"148",17.08,7.4124,9.10230104166667,8.49559166666667,0.243493541666667,0
"149",18.59,7.5924,9.538405625,8.79635854166667,0.235493333333333,0
"150",14.58,7.7304,9.65952083333333,8.9883475,0.227478958333333,0
"151",13.39,7.4568,9.18282729166667,8.685924375,0.219975208333333,0
"152",15.63,6.906,9.17445583333333,8.614975625,0.212617916666667,0.01266
"153",18.22,7.9284,9.88244958333333,9.07863354166667,0.205001666666667,0
"154",15.52,7.7472,9.94716020833333,9.2760975,0.197256458333333,0
"155",10.88,7.4484,9.52280625,9.067406875,0.19050375,0
"156",7.637,6.7248,8.43540041666667,8.28240604166667,0.184476041666667,0.001
"157",7.756,6.1452,8.002223125,7.83106604166667,0.179074791666667,0.03634
"158",7.596,4.338,7.68478645833333,7.5435175,0.17498125,0.06767
"159",9.098,6.48,7.64471520833333,7.42829583333333,0.1711225,0.002
"160",10.32,6.2196,7.84457833333333,7.54591854166667,0.165449375,0
"161",16.22,6.4752,8.546284375,7.96923083333333,0.159500416666667,0
"162",17.32,5.7924,9.87108,8.97465541666667,0.153450416666667,0.2353
"163",12.7,7.074,9.8914575,9.26226604166667,0.149259791666667,0
"164",11.58,6.4596,9.33052375,8.88589416666667,0.144485,0
"165",15.09,6.8196,9.48801583333333,8.9014875,0.139571458333333,0
"166",17.16,6.582,10.2072870833333,9.43236895833333,0.134262291666667,0
"167",17.38,7.4184,10.3770089583333,9.63889208333333,0.129058958333333,0
"168",18.7,7.3572,10.6918579166667,9.89212041666667,0.123394166666667,0
"169",16.85,6.9504,11.1356679166667,10.2990729166667,0.11829,0.04034
"170",12.69,5.1036,10.7495897916667,10.1941202083333,0.123301875,0.7534
"171",14.23,7.476,10.4131602083333,9.89590354166667,0.127564166666667,0.00067
"172",12.49,5.4768,10.205394375,9.749889375,0.124046875,0.18
"173",10.96,5.4492,10.4597783333333,9.96170979166667,0.1764225,1.06
"174",11.37,5.6712,10.005843125,9.61828875,0.180093541666667,0.02323
"175",14.31,5.5512,10.234556875,9.691090625,0.177387708333333,0
"176",15.23,4.5108,10.6906045833333,10.0542958333333,0.17368875,0.007
