Year,Month,Decimal_year,Temp,VPD,PPFD,PPFD_max,SWP
2020,07,2019.57496740548,12.8500896553634,5.70047978491093,480.909398596848,1878.76621000161,0.0205516134560405
2020,07,2019.57766188614,16.1324050702264,7.19751819632726,469.751681711436,1901.06137944521,0.0204077711628795
2020,07,2019.5803563668,17.3966429113418,7.87741374227773,450.90779678047,1798.01928955247,0.0199866709099052
2020,07,2019.58305084746,18.6539154486531,10.1088606345416,508.712511377665,1682.78941297611,0.0201273792564573
2020,07,2019.58574532812,19.3238846936152,10.5129965698352,575.092509547429,2047.06602744073,0.0204980027409106
2020,07,2019.58843980878,19.359099181114,9.09123311251543,429.133699495717,1701.77912304343,0.0218556831873242
2020,07,2019.59113428944,18.8475160067531,7.24109354890408,413.082383438373,1556.49325931989,0.0247665518679078
2020,07,2019.5938287701,16.6974106115511,5.12965405957562,333.704613541533,1299.16449027227,0.0272417166896171
2020,07,2019.59652325076,12.9246057230531,4.34401489834874,267.848369311476,1352.18222318673,0.0336689265717128
2020,07,2019.59921773142,11.9713405003206,2.0864101922444,177.568742446396,1134.20164996693,0.0394681383280083
2020,07,2019.60191221208,10.6360089116609,0.855426248324642,149.376727567721,1149.31942722112,0.0428428098310733
2020,07,2019.60460669274,14.0970779629738,3.32046597548677,322.557079463465,1590.1998237985,0.0441239143796811
2020,07,2019.6073011734,16.5332231088721,6.54095577141869,377.243079374402,1606.60931806658,0.0430078661950668
2020,07,2019.60999565406,18.4911559939789,9.24632199745007,460.938917283491,1931.43816063161,0.0385541545716518
2020,07,2019.61269013472,15.9916557136032,1.53168899638526,27.5143203746407,950.632959854497,0.0353415380847393
2020,07,2019.61538461538,14.9890083783522,2.57029856674331,140.927690574931,917.710355489418,0.0373441077433868
2020,07,2019.61807909605,14.6637984107714,5.64650280049159,355.506898430727,1527.27248368607,0.0403154839334621
2020,07,2019.62077357671,15.9871732498335,7.97556151763529,519.122712406952,2082.45986973655,0.0436156427183493
2020,08,2019.62346805737,15.780273875562,7.38352761015915,289.367154842404,1519.98608771495,0.0409234030020972
2020,08,2019.62616253803,15.263238273996,2.51249461147687,115.031183623438,1006.52991170635,0.0404547581661846
2020,08,2019.62885701869,15.643123046613,2.37457033088982,202.762706909688,1240.82245640432,0.0369454980969031
2020,08,2019.63155149935,15.563835938014,5.81813081486028,287.547779936979,1470.87471439594,0.0377905740858486
2020,08,2019.63424598001,15.1824208803084,7.00310209066811,368.629502902007,1609.18527303792,0.0375295535065865
2020,08,2019.63694046067,15.9935400407345,2.09273072361831,104.355786190523,1106.92105996473,0.0350443603166033
2020,08,2019.63963494133,19.0358967922429,4.15767399416017,244.126076284426,1251.90526421958,0.0368160041632356
2020,08,2019.64232942199,20.7920283301981,9.67253617832058,487.611494341142,1913.34885176918,0.039231835292784
2020,08,2019.64502390265,19.117684785349,7.89568176202834,427.391948219774,1882.56206718474,0.0424573153973014
2020,08,2019.64771838331,15.4620683745757,7.9052097849795,380.257353355667,1655.51427345128,0.0451027214624582
2020,08,2019.65041286397,13.5950015527857,6.66396774949013,376.993285950223,1612.01857308201,0.0466644990862898
