Year,Month,Day,co2,TotGlob,PPFD,Temp,Precip,Press,VPD,RH,Temp_Soil_1,swvl1
1974,10,03,380,37.1975405489611,52.5496464546643,10.2376424537244,1.62500964358107,1000,0.306341369968421,90.946087465812,11.3334748978523,0.29867384455483
1974,10,04,380,20.6542834080987,25.1759381195158,7.84648055839568,1.62856321412418,1000,-0.0796072012314267,93.2239265960836,9.28302819939702,0.309836351899238
1974,10,05,380,29.6181006164834,65.3725557175049,7.93320643573042,0.859083875093843,1000,-0.198071611945692,93.3054105650512,10.2474614598033,0.331508549943327
1974,10,06,380,54.2684597353064,96.8086553550793,8.07607976110526,0.709004862560604,1000,0.881064308754823,82.5679437664356,10.0674026691778,0.319765808763273
1974,10,07,380,42.8014766616415,75.6820722708394,7.74281939086075,0.940789436029901,1000,0.247470696090715,86.4632426090339,9.27245123876695,0.297833473804186
1974,10,08,380,74.9047243523488,149.230631577884,6.27589670212254,1.08006385760805,1000,0.702329940195062,80.055165900742,7.92799579057384,0.286454606960574
1974,10,09,380,38.2000770155934,62.0515301661759,5.46199983378487,3.54179297200472,1000,0.539338977103726,76.9539429749574,7.60887693089399,0.292245048364518
1974,10,10,380,3.25649363858086,-6.66814899955665,3.48728279849427,3.53535249477478,1000,-0.208523752044462,99.6708665981621,6.70698468064469,0.337108648828696
1974,10,11,380,27.6032775248385,50.3988392526467,6.99501044626672,2.08350296131971,1000,-0.253819296807001,98.5860481062105,9.18174129338599,0.333634100154306
1974,10,12,380,29.8830524441493,53.3928879867941,6.05345867645867,2.44833309956184,1000,-0.0983515942744763,96.7118179496569,9.37973437138698,0.327587696066159
1974,10,13,380,27.1892616076843,49.5433949578633,4.17679740483528,1.71731435724334,1000,0.269037908950655,83.7450806741473,6.82191218689805,0.309640018865059
1974,10,14,380,32.8442657902768,59.1878186438474,4.60263676005487,1.19557250503717,1000,-0.0325590778205098,86.0069450750753,6.35800015335648,0.306550092218841
1974,10,15,380,36.7215855189794,72.6080915763562,3.32146298013497,1.98544205019002,1000,0.0855138814748107,82.0647204968875,4.31604414845688,0.292162676843842
1974,10,16,380,18.6781350296833,31.8962736240815,2.5884390454448,3.37023437733495,1000,-0.138123536590297,93.2225554423032,4.01276242856368,0.286194601043001
1974,10,17,380,22.5627802823042,43.406950866466,2.39258673776482,2.38490661786561,1000,0.175612204526705,81.3127053100042,5.33738385429455,0.298160727397086
1974,10,18,380,29.8849801347157,60.4148638649432,2.33964067676881,4.1216273686276,1000,0.213416555110793,80.6908640047788,5.13756738220021,0.310916746351765
1974,10,19,380,32.9507453162046,63.7529099514172,0.595981567113345,3.21192871965509,1000,-0.0321039855877226,89.1065910005087,3.17350408934772,0.30099383522286
1974,10,20,380,17.9600773538972,25.6145881703619,0.907462625551701,2.17681132678315,1000,-0.229393191699023,97.1538311371873,3.38345623350566,0.307379527334294
1974,10,21,380,12.5423467494159,10.3970257115703,3.02114840364026,1.84116736447286,1000,-0.184441111082811,100.260259488953,5.35110405194899,0.332539945023849
