Year,Month,Decimal_year,Temp,VPD,PPFD,PPFD_max,SWP,GPP
1988,1,1987.59205298013,-3.69512559670811,0.30374492496932,11.2583960091819,107.50812868308,0.0426830275828436,
1988,2,1987.67417218543,-4.69578824302662,0.443327629037826,43.9477922766972,333.678821185703,0.0313906590081528,
1988,3,1987.75629139073,-2.97037028552853,1.44949194296645,127.498893575818,677.698626996928,0.0271634330651513,
1988,4,1987.83841059603,1.14285338220532,2.98254066227382,285.962506099201,1312.58053309012,0.0277105380201162,
1988,5,1987.92052980132,10.3861495067897,5.66745558532772,440.63723842667,1615.94622087131,0.021351918793519,
1988,6,1988.00264900662,15.967565529852,6.89716088594897,446.825248794633,1729.63375801199,0.0361461527821107,
1988,7,1988.08476821192,19.0374839332736,6.63610383812774,414.881390107708,1766.7815748023,0.0673264948665938,
1988,8,1988.16688741722,14.3437351024206,4.95936976085005,250.027273841552,1346.36907013427,0.107635010556306,
1988,9,1988.24900662252,10.9334783485837,2.31466286877959,165.146557782598,994.962648083876,0.0920497382846584,
1988,10,1988.33112582781,3.52059860856815,0.928237666021735,93.8093222164902,587.398954786568,0.0492848877348907,
1988,11,1988.41324503311,-4.28794601320355,0.342143170078481,29.2816451732957,182.859619582231,0.0286549101037893,
1988,12,1988.49536423841,-7.13672296822836,0.265699396943819,10.3062218829424,85.171298571158,0.0282650676714463,
1989,1,1988.57748344371,-0.300234985818316,0.306062647436555,17.2813784875328,205.514203335858,0.0426830275828436,
1989,2,1988.65960264901,0.111891260591225,0.445822243309518,54.187613710524,252.37322222737,0.0313906590081528,
1989,3,1988.7417218543,0.97139569452553,1.45064499594686,119.68327512889,779.966210330261,0.0271634330651513,
1989,4,1988.8238410596,5.41447402666871,2.98783658789109,229.261447050116,1319.76915114568,0.0277105380201162,
1989,5,1988.9059602649,10.3881932411043,5.66947278096183,438.790575500644,1652.37183198242,0.021351918793519,
1989,6,1988.9880794702,15.4731504585765,6.90484777051084,449.387084881032,1766.85031356755,0.0361461527821107,
1989,7,1989.0701986755,16.6149788109145,6.64669520236489,452.360457845201,1826.2825748023,0.0673264948665938,
1989,8,1989.15231788079,14.5197744392507,4.97028168412644,322.128390019551,1402.80851457871,0.107635010556306,
1989,9,1989.23443708609,11.3420254321205,2.32217516673412,222.626114856279,1129.54523141721,0.0920497382846584,
1989,10,1989.31655629139,3.67491915109852,0.924795863177749,66.9225991358176,601.674767286568,0.0492848877348907,
1989,11,1989.39867549669,-0.180559296996694,0.340286137046337,16.0355440294522,77.21407097112,0.0286549101037893,
1989,12,1989.48079470199,-6.05244752772506,0.26685606827893,9.56870063108957,88.5423358975469,0.0282650676714463,
1990,1,1989.56291390728,-5.14708963666433,0.303093899207786,10.442599810198,25.7219255580802,0.0426830275828436,
1990,2,1989.64503311258,1.20848016737892,0.444659816741158,45.8479804754819,291.039256949592,0.0313906590081528,
1990,3,1989.72715231788,0.318491881337716,1.45719916917898,170.084644997868,834.167626996928,0.0271634330651513,
1990,4,1989.80927152318,5.86452717811728,2.99426594698692,288.833895175198,1267.72398447901,0.0277105380201162,
1990,5,1989.89139072848,9.12111344682563,5.66177860051569,449.457037819771,1577.1688597602,0.021351918793519,
1990,6,1989.97350993377,13.5093243002648,6.89679141236534,473.334164293298,1803.24621634533,0.0361461527821107,
1990,7,1990.05562913907,15.4553592847179,6.62136189937004,399.920233530238,1810.95818591341,0.0673264948665938,
1990,8,1990.13774834437,15.5341173728234,4.9756812151545,337.576568280573,1529.07532013427,0.107635010556306,
1990,9,1990.21986754967,8.21303364813063,2.31466756508384,159.285311369814,1089.05373141721,0.0920497382846584,
1990,10,1990.30198675497,4.04379262423516,0.927486262647538,78.0695144236496,486.317788119901,0.0492848877348907,
