date,T,VPD,PAR,Rain,CO2,fAPAR,TSA,TSB,MB
1960-01-01,3.30053510603322,0.0168949192152185,0.0152744569940692,0,380,0.7,0.226729191804492,0.21016449496169,0.387727095586384
1960-01-02,6.72425962105484,0.0408445644474441,0.275003873072095,0.467842448341516,380,0.7,1.08888053018513,1.03425995436986,0.380587915376208
1960-01-03,4.10752563411972,0.0075914949010748,0.279822338138681,0,380,0.7,0.525305289984802,0.490622356959655,0.383436425377842
1960-01-04,2.14564989704174,0.0196071432048414,0.361318936092818,0,380,0.7,0.802560881064588,0.749083415283432,0.363215813645278
1960-01-05,3.89887306334477,0.0322836336455574,0.150583355816777,0,380,0.7,0.598230367790367,0.541132910145712,0.373916845357459
1960-01-06,4.37657031411466,0.0103220676317964,0,8.49848219025823,380,0.7,1.49204429284623,1.39076647401022,0.354474169064136
1960-01-07,-3.8322218492402,0.0280794145554021,1.14309528908783,0,380,0.7,1.07162057105933,0.980611762329492,0.346608021227719
1960-01-08,-9.60663882478585,0.0362106081695647,1.37851104565092,0,380,0.7,1.57817440296167,1.44223083190136,0.336429999557291
1960-01-09,-10.7526018874964,0.0398796723481866,1.33834259835813,0,380,0.7,0.865764354906722,0.799536502460323,0.338264419165245
1960-01-10,-16.9793184032613,0.0145529504246198,1.03423206590879,0,380,0.7,1.06007819135487,0.973689450168258,0.348605061976203
1960-01-11,-9.75846787861525,-0.00170852776223749,0.964670577045455,0,380,0.7,3.7736355649544,3.72435184487961,0.338126179242752
1960-01-12,-4.83101008565592,0.000790747844230798,0.642244381900518,0,380,0.7,4.30973483122777,4.29675531910564,0.332033314462071
1960-01-13,-10.7143366095326,0.00390319912663584,1.10857868844849,0,380,0.7,1.70925980592302,1.65781103928771,0.335607192280672
1960-01-14,-18.9245397617339,0.0358431847695145,1.46921924467921,0,380,0.7,-3.02242671537904,-3.00209140697331,0.329777199195796
1960-01-15,-14.1141349000776,0.0265855593643763,0,1.97804924394817,380,0.7,-0.592402366439151,-0.614894629759932,0.338226566033791
1960-01-16,-12.3743564990816,0.00790508750697695,2.39498037186198,0,380,0.7,-0.848590211561724,-0.929882656843863,0.341548167160711
1960-01-17,-12.4686389660775,0.0177431386096853,1.86271302650406,0,380,0.7,-0.0349205769177074,0.0189559652847618,0.344108882558409
