date,T,Rain,PPFD,TSA,TSB,MB,VPD,PPFD_max,CO2,SWP
1960-01-01,-4.90037002563474,0.160672557891909,4.80842181398251,-0.620122019449847,-1.85465215047198,0.376454827686151,0.00362334545065095,32.287193359375,380,0.0343570079754251
1960-01-02,-0.450107320149717,0.218077759920258,4.6266531957697,-0.416660054524717,-1.65260162353513,0.372511294980844,0.00424725108015979,31.0598828125,380,0.0357827651879113
1960-01-03,-0.560148620605446,0.0131172399733259,6.60263774257236,-0.432432556152321,-1.49813944498696,0.369903696080049,0.00230439447206712,44.2177795138889,380,0.045179301132435
1960-01-04,-2.30806833902993,0.0157351104993116,8.54736805650923,-0.550416056315081,-1.36758524576821,0.367654785513878,0.002381519403346,60.5169930555556,380,0.0416015922524332
1960-01-05,-0.189543151855446,0.159581573408711,4.99158369191488,-0.228993479410785,-1.23680089314776,0.366078967849414,0.00344409478873626,36.1468559027778,380,0.0472823025418126
1960-01-06,-0.733273569742816,0.517358778476288,3.36314040261728,-0.341858927408831,-1.12032546997068,0.364913066228231,0.00290432065346651,24.0592228732639,380,0.0449711205997252
1960-01-07,-9.10760854085284,0.0411691258174566,13.3641604037815,-1.36672312418618,-1.0409479777018,0.363963916897774,0.00450257457038453,98.2882638888889,380,0.047562454578051
1960-01-08,-13.0714274088541,0.000965661945665867,19.2481809833668,-1.94837544759112,-1.06610081990558,0.363354509075483,0.0053211185854189,132.709440972222,380,0.0423330793310456
1960-01-09,-13.6961552937825,0.00105293284491381,19.2286739061144,-4.48805338541664,-1.16616160074868,0.36279084533453,0.00381693974151197,137.215244791667,380,0.0403677632641151
1960-01-10,-17.116526667277,0.0780357172137277,12.3977054918077,-1.77304814656573,-1.30000152587888,0.362787974377473,0.00289496095469068,89.7601354166667,380,0.0389377471518348
1960-01-11,-16.2428319295247,0.0531923245337869,14.9449194477223,-0.727639261881488,-1.24455490112302,0.362024672329426,0.00347403017362849,92.5402204861111,380,0.034725897267497
1960-01-12,-14.3697341918945,0.0210914070066792,14.8342225045098,-0.36037165323891,-1.18297170003253,0.361285741130511,0.00329685461051355,93.0458611111111,380,0.0343561733531709
1960-01-13,-16.2384920756022,0.00487547519393653,14.3530520830508,-1.85029195149737,-1.09043731689451,0.360911327103774,0.00248232614700922,92.5887760416667,380,0.0354029082355703
1960-01-14,-22.4269056955973,0.00235234142105985,23.8052220097295,-5.58528238932289,-1.19121017456052,0.359049014747143,0.0014502740572707,166.197920138889,380,0.0358464176926131
1960-01-15,-16.3029178619385,0.106799735704044,11.8126619432237,-2.60485432942706,-1.3549242655436,0.35818163305521,0.00221282593870523,86.6372465277778,380,0.0377018888045226
1960-01-16,-15.5294771830241,0.00421617202306379,31.3265258563006,-3.91013946533201,-1.41428985595701,0.358708796401819,0.00202903731356441,214.954326388889,380,0.040336289653357
1960-01-17,-15.884281539917,0.00096560902325867,28.9682502260561,-3.18291829427081,-1.53164647420245,0.360275350511074,0.00182672352518898,188.896644097222,380,0.0407332431432671
1960-01-18,-10.5490987141927,0.0536604029832688,19.8704557065611,-2.89125544230141,-1.63050181070961,0.363576896488667,0.00367648364623126,111.952140625,380,0.039144122356321
1960-01-19,-7.39163818359373,0.563598923690734,7.22143687778049,-2.66651382446287,-1.67959060668943,0.363116716345151,0.0030912140409234,44.3088211805556,380,0.0454706623729921
1960-01-20,-13.8160556793213,0.00319879662432262,37.9199928114149,-3.6590154012044,-1.74093475341795,0.361484192311764,0.00284891493703721,234.2435,380,0.0513520522125259
1960-01-21,-15.6486356099446,0.000635750423564711,27.5607160282841,-4.11466827392576,-1.8448661804199,0.358625290294488,0.0017282837190891,165.024321180556,380,0.0523747150253323
1960-01-22,-12.0194839477539,0.00381828046632412,27.6668401104962,-2.90558853149412,-1.93959528605141,0.360376829902331,0.00206213915672844,177.136256944444,380,0.0623794018441056
1960-01-23,-3.18571573893227,0.304818886737242,10.7599622305411,-2.97599639892576,-1.98219909667966,0.361604906618595,0.00283183236089516,66.7491944444445,380,0.0639699763376566
1960-01-24,0.628859456380231,0.0836053103014933,7.72154112865307,-2.63264439900714,-2.00142517089841,0.369533225893974,5.56952749165604e-05,45.8361499565972,380,0.0504141446262941
1960-01-25,0.240890757242861,0.133741161176223,12.5011139322917,-2.12967020670571,-1.99152984619138,0.404665785531203,0.00059112128361724,88.8062743055556,380,0.0475941042505818
1960-01-26,-0.586490376790342,0.032330115232071,8.87195364040799,-2.52615966796873,-1.93869756062823,0.422956089178721,0.00193164319592566,50.2609496527778,380,0.0432766929952305
1960-01-27,-8.29332834879555,0.0072680926261152,25.6064206362124,-3.48664576212563,-1.94986445109047,0.4129400725166,0.00458066860283067,150.374758680556,380,0.0407179314429976
1960-01-28,-16.239288075765,0.00866583393370017,38.1042889630353,-3.10967610677081,-2.00469436645506,0.403762285908063,0.00363614618050954,210.754230902778,380,0.0411720658289995
1960-01-29,-18.4292015075683,0.039810867105731,37.8562935536703,-2.68355916341144,-2.04563369750974,0.398222615321477,0.00333210438557199,217.510800347222,380,0.0410269674154915
1960-01-30,-21.0078294118245,0.0069774323681789,36.1086916828862,-3.05723037719724,-2.07739613850909,0.394723559419314,0.00206145379711663,191.412269097222,380,0.0417658447649716
1960-01-31,-21.8175122578939,0.00361225871377731,63.1603136845341,-5.24747695922849,-2.18420003255206,0.392806840439637,0.00175989371326778,344.040788194444,380,0.0417078189537531
1960-02-01,-13.2406575520833,0.00581758249988222,31.0489935732241,-2.88483022054034,-2.32670694986977,0.392954568068186,0.00270716656865495,164.847348958333,380,0.0405856137722609
